Subfolder Name,Rough Matched Supersector,Rough Matched Company Name (Full)
ses_SESG_LU0088087324,Media,SES
georg_fischer_GF_CH1169151003,Industrial Goods & Services,GEORG FISCHER
scor_SCR_FR0010411983,Insurance,SCOR
evotec_EVT_DE0005664809,Telecommunications,OTE
gvc_ENT_IM00B5VQMV65,,
auto_trader_AUTO_GB00BVYVFW23,Automobiles & Parts,FIAT CHRYSLER AUTOMOBILES
erste_group_EBS_AT0000652011,Banks,ERSTE GROUP BANK
swiss_prime_SPSN_CH0008038389,Insurance,SWISS REINSURANCE COMPANY
billerudkorsnas_BILL_SE0000862997,Basic Resources,BILLERUDKORSNAS
kion_KGX_DE000KGX8881,Industrial Goods & Services,KION GROUP
lafargeholcim_HOLN_CH0012214059,Construction & Materials,LafargeHolcim
philips_lighting_LIGHT_NL0011821392,Industrial Goods & Services,PHILIPS
kering_KER_FR0000121485,Retail,Kering
outotec_MOCORP_FI0009014575,Telecommunications,OTE
temenos_TEMN_CH0012453913,Technology,TEMENOS GRP
snam_SRG_IT0003153415,Utilities,SNAM RETE GAS
hsbc_HSBA_GB0005405286,Banks,HSBC
heineken_HEIA_NL0000009165,Food & Beverage,HEINEKEN
sartorius_stedim_biotech_DIM_FR0013154002,,
ferrovial_FER_ES0118900010,,
aalberts_industries_AALB_NL0000852564,Industrial Goods & Services,AALBERTS INDUSTRIES
samhallsbyggnadsbolaget_i_norden_ab_SBB B_SE0009554454,,
royal_bank_of_scotland_NWG_GB00BM8PJY71,Oil & Gas,ROYAL DUTCH SHELL A
prudential_PRU_GB0007099541,Insurance,PRUDENTIAL
qinetiq_QQ._GB00B0WMWD03,Industrial Goods & Services,QINETIQ GRP
infrastrutture_wireless_italiane_spa_INW_IT0005090300,,
banco_de_sabadell_SAB_ES0113860A34,,
skf_SKF B_SE0000108227,Industrial Goods & Services,SKF B
telia_TELIA_SE0000667925,Telecommunications,TELIASONERA
continental_CON_DE0005439004,Automobiles & Parts,CONTINENTAL
hiscox_HSX_BMG4593F1389,Insurance,HISCOX
acs_actividades_de_construcción_y_servicios_sa_ACS_ES0167050915,Construction & Materials,ACS
aeroports_de_paris_ADP_FR0010340141,,
belimo_BEAN_CH1101098163,,
akzonobel_AKZA_NL0013267909,,
marine_harvest_MOWI_NO0003054108,Food & Beverage,MARINE HARVEST
julius_baer_BAER_CH0102484968,Banks,JULIUS BAER GRP
ryanair_RYA_IE00BYTBXV33,Travel & Leisure,RYANAIR
axfood_ab_AXFO_SE0006993770,,
kinnevik_KINV B_SE0015810247,Financial Services,INVESTMENT KINNEVIK B
cellnex_telecom_CLNX_ES0105066007,Telecommunications,CELLNEX TELECOM
commerzbank_CBK_DE000CBK1001,Banks,COMMERZBANK
3i_III_GB00B1YW4409,Financial Services,3I GRP
biomerieux_BIM_FR0013280286,,
pennon_PNN_GB00BNNTLN49,Utilities,PENNON GRP
e_on_EOAN_DE000ENAG999,Food & Beverage,NESTLE
d_ieteren_sa_DIE_BE0974259880,Health Care,ROCHE HLDG P
imcd_nv_IMCD_NL0010801007,,
siemens_SIE_DE0007236101,Industrial Goods & Services,SIEMENS
kuehne_nagel_KNIN_CH0025238863,Industrial Goods & Services,KUEHNE + NAGEL
unite_group_plc_UTG_GB0006928617,Utilities,UNITED UTILITIES GRP
scottish_and_southern_energy_plc_SSE_GB0007908733,Utilities,SCOTTISH & SOUTHERN ENERGY
associated_british_foods_ABF_GB0006731235,Food & Beverage,ASSOCIATED BRITISH FOODS
air_liquide_AI_FR0000120073,Industrial Goods & Services,AIRBUS GROUP SE
britvic_BVIC_GB00B0N8QD54,Media,ITV
smiths_SMIN_GB00B1WY2338,Industrial Goods & Services,SMITHS GRP
cnh_industrial_CNHI_NL0010545661,Industrial Goods & Services,CNH Industrial NV
chr_hansen_CHR_DK0060227585,Personal & Household Goods,CHRISTIAN DIOR
ab_sagax_SAGA B_SE0005127818,Food & Beverage,SABMILLER
osb_group_plc_OSB_GB00BLDRH360,,
sofina_SOF_BE0003717312,,
swatch_UHR_CH0012255151,Personal & Household Goods,SWATCH BEARER
united_utilities_UU._GB00B39J2M42,Utilities,UNITED UTILITIES GRP
tesco_TSCO_GB00BLGZ9862,Retail,TESCO
swiss_re_SREN_CH0126881561,Insurance,SWISS REINSURANCE COMPANY
vat_VACN_CH0311864901,,
deutsche_boerse_DB1_DE0005810055,Telecommunications,DEUTSCHE TELEKOM
daimler_DTG_DE0007100000,Automobiles & Parts,DAIMLER
carrefour_CA_FR0000120172,Retail,CARREFOUR
londonmetric_property_plc_LMP_GB00B4WFW713,,
huhtamaki_HUH1V_FI0009000459,Industrial Goods & Services,HUHTAMAKI
novo_nordisk_NOVOB_DK0060534915,Health Care,NOVO NORDISK B
abrdn_plc_ABDN_GB00BF8Q6K64,,
deliveryhero_DHER_DE000A2E4K43,,
nordea_bank_NDA FI_FI4000297767,Banks,NORDEA BANK
thales_HO_FR0000121329,Industrial Goods & Services,THALES
kbc_KBC_BE0003565737,Banks,KBC GRP
fastighets_BALD B_SE0017832488,,
wihlborgs_fastigheter_WIHL_SE0018012635,,
jde_peet_s_bv_JDEP_NL0014332678,,
airbus_AIR_NL0000235190,Industrial Goods & Services,AIRBUS GROUP SE
aib_group_plc_A5G_IE00BF0L3536,,
croda_CRDA_GB00BJFFLV09,Chemicals,CRODA INTERNATIONAL
pearson_PSON_GB0006776081,Media,PEARSON
bellway_BWY_GB0000904986,Personal & Household Goods,BELLWAY
alstom_ALO_FR0010220475,Industrial Goods & Services,ALSTOM
moncler_MONC_IT0004965148,,
statoil_EQNR_NO0010096985,Oil & Gas,STATOIL
kingspan_KRX_IE0004927939,Construction & Materials,KINGSPAN GRP
games_workshop_group_plc_GAW_GB0003718474,Oil & Gas,GAMESA
interpump_group_IP_IT0001078911,,
iss_ISS_DK0060542181,Insurance,SWISS REINSURANCE COMPANY
la_francaise_des_jeux_saem_FDJ_FR0013451333,Health Care,GLAXOSMITHKLINE
lanxess_LXS_DE0005470405,Chemicals,LANXESS
arcadis_nv_ARCAD_NL0006237562,,
gjensidige_forsikring_GJF_NO0010582521,Insurance,GJENSIDIGE FORSIKRING
pandora_PNDORA_DK0060252690,Personal & Household Goods,PANDORA
total_TTE_FR0000120271,Oil & Gas,TOTAL
london_stock_exchange_LSEG_GB00B0SWJX34,Financial Services,LONDON STOCK EXCHANGE
givaudan_GIVN_CH0010645932,Chemicals,GIVAUDAN
segro_SGRO_GB00B5ZN1N88,Real Estate,SEGRO
talanx_TLX_DE000TLX1005,,
tomra_systems_asa_TOM_NO0012470089,,
psp_swiss_PSPN_CH0018294154,Real Estate,PSP SWISS PROPERTY
bawag_group_ag_BG_AT0000BAWAG2,,
spirax_sarco_SPX_GB00BWFGQN14,Industrial Goods & Services,SPIRAX-SARCO
sap_SAP_DE0007164600,Technology,SAP
nexi_spa_NEXI_IT0005366767,,
iberdrola_IBE_ES0144580Y14,Utilities,IBERDROLA
william_demant_DEMANT_DK0060738599,Retail,MORRISON (WILLIAM) SUPERMARK
astrazeneca_AZN_GB0009895292,Health Care,ASTRAZENECA
universal_music_group_UMG_NL0015000IY2,,
danske_bank_DANSKE_DK0010274414,Banks,DANSKE BANK
tate_lyle_TATE_GB00BP92CJ43,Food & Beverage,TATE & LYLE
jyske_bank_JYSK_DK0010307958,Banks,JYSKE BANK
be_semiconductor_industries_BESI_NL0012866412,Food & Beverage,ANHEUSER-BUSCH INBEV
nordnet_ab_publ_SAVE_SE0015192067,,
investec_INVP_GB00B17BBQ50,Financial Services,INVESTEC
deutsche_lufthansa_LHA_DE0008232125,Telecommunications,DEUTSCHE TELEKOM
oxford_nanopore_technologies_limited_ONT_GB00BP6S8Z30,,
ubisoft_UBI_FR0000054470,Personal & Household Goods,UBISOFT ENTERTAINEMENT
safran_SAF_FR0000073272,Industrial Goods & Services,SAFRAN
carlsberg_CARL B_DK0010181676,Food & Beverage,CARLSBERG B
rio_tinto_RIO_GB0007188757,Basic Resources,RIO TINTO
swedbank_SWED A_SE0000242455,Banks,SWEDBANK
euronav_nv_EURN_BE0003816338,,
volkswagen_VOW3_DE0007664039,Automobiles & Parts,VOLKSWAGEN PREF
omv_OMV_AT0000743059,Oil & Gas,OMV
national_grid_plc_npr_NG._GB00BDR05C01,Utilities,NATIONAL GRID
anglo_american_AAL_GB00B1XZS820,Basic Resources,ANGLO AMERICAN
cie_de_saint_gobain_SGO_FR0000125007,Personal & Household Goods,CIE FINANCIERE RICHEMONT
standard_chartered_STAN_GB0004082847,Banks,STANDARD CHARTERED
enel_ENEL_IT0003128367,Utilities,ENEL
k_s_SDF_DE000KSAG888,Health Care,NOVO NORDISK B
abb_ABBN_CH0012221716,Industrial Goods & Services,ABB
covestro_1COV_DE0006062144,,
sage_SGE_GB00B8C3BL03,Technology,SAGE GRP
weir_WEIR_GB0009465807,Industrial Goods & Services,WEIR GRP
b_m_european_value_retail_BME_LU1072616219,Banks,HSBC
bt_BT.A_GB0030913577,Telecommunications,BT GRP
